Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,DANA CUPKOVA,ARC,48686,ECLGTCS: COMP TECH,A,Lect,6,7,86%,8.5,4.67,4.17,4.17,4.5,4.33,4.17,5,4.33,4.33
Fall,2016,STEFANI DANES,ARC,48705,ARCH DSGN STUD URBAN,A,Lect,6,7,86%,22.8,4.5,4,4,4.5,4.33,4.17,4.83,4.67,3.67
Spring,2016,STEPHEN QUICK,ARC,48706,URBAN DESIGN STUDIO,A,Lect,8,10,80%,17.75,4.13,3.88,4,3.88,3.88,4,4.5,3.88,3.88
Fall,2016,DONALD CARTER,ARC,48707,MUD GRADUATE SEMINAR,A,Lect,7,7,100%,4,4.71,4.71,4.71,4.29,4.43,4.57,5,4.86,4.57
Summer,2016,JONATHAN KLINE,ARC,48708,SUSTNBLE URBNM STUDO,A,Lect,2,5,40%,20.5,4,4,4,3.5,4.5,4,3.5,3.5,3.5
Spring,2016,OMER AKIN,ARC,48711,PARADGMS RESCH ARCH,A3,Lect,8,13,62%,8.38,4.5,5,4.75,4.5,4.5,4.38,4.63,4.63,4.25
Spring,2016,DONALD CARTER,ARC,48712,MUD GRADUATE SEMINAR,A,Lect,9,10,90%,3.88,4.56,4.33,4.11,4.33,4,4.11,4.33,4.25,4
Fall,2016,ELENI KATRINI,ARC,48713,MUD URB EC,A,Lect,7,7,100%,13.67,4.57,4.57,4,4.71,4.43,4.43,4.71,4.57,4.29
Fall,2016,DANIEL CARDOSO LLACH,ARC,48716,CMPT DSG PRE THS SEM,A,Lect,3,3,100%,6,4.67,5,4.67,4,5,4.33,4.33,4.67,4.33
Fall,2016,HAL HAYES,ARC,48718,UD STUDIO III,A,Lect,6,6,100%,26.4,5,4.5,4.5,4.67,4.83,4.67,4.4,4.5,4.33
