Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Realistic Constraints,3: ABET: Function on Teams,4: ABET: Ethical responsibility,5: ABET: Effective Communication,"6: ABET: Global, etc. contexts",7: ABET: Life-long learning,8: ABET: Knowledge Contemporary Issues,9: ABET: Use skills,10: Hrs Per Week 9,11: Interest in student learning,12: Explain course requirements,13: Clear learning goals,14: Instructor provides Feedback to students,15: Importance of subject,16: Explains subject matter,17: Show respect for students,18: Overall teaching,19: Overall course,,
Spring,2016,TIMOTHY BROWN,EPP,19802,STBITCONCRY,R4,Lect,1,2,50%,14,5,5,5,5,4,4,4,4,4,,,,,,,,,,,
Spring,2016,PEDRO FERREIRA,EPP,19819,MEAS CAUCAL EFF ONLI,A3,Lect,4,4,100%,5.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,,,,,,,,,,,
Fall,2016,JEROME APT,EPP,19881,SEMR ELCTY MRK RESTR,A1,Lect,8,8,100%,10.38,4.88,5,4.88,4.13,4.63,4.88,5,4.63,4.63,,,,,,,,,,,
Spring,2016,JEROME APT,EPP,19882,SEMR LW-CRBN ELC PWR,A4,Lect,13,13,100%,9,4.92,5,4.92,4.31,4.92,5,4.62,4.77,4.92,,,,,,,,,,,
Spring,2016,INES AZEVEDO,EPP,19883,SP TPC SEM CEDM,A,Lect,4,4,100%,2,4.25,4,4,3.75,3.75,3.75,4.25,4.25,4.25,,,,,,,,,,,
Fall,2016,PARTH VAISHNAV,EPP,19883,SP TPC SEM CEDM,A,Lect,3,3,100%,3.5,5,5,5,5,5,4.5,5,5,5,,,,,,,,,,,
Spring,2016,PEDRO FERREIRA,EPP,19885,TELCM MNGMNT PLY RSH,A,Lect,1,2,50%,5,4,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,PEDRO FERREIRA,EPP,19885,TELCM MNGMNT PLY RSH,PP,Lect,2,3,67%,6.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,
Fall,2016,"GOMEZ, N. (co-taught)",ICT,4330,FUND. OF SWD,A,Lect,9,12,75%,18.11,4.89,4.33,4.33,4.33,4.33,4.44,5,4.44,4.33,,,,,,,,,,,
Fall,2016,"BISHOP, M. (co-taught)",ICT,4330,FUND. OF SWD,A,Lect,9,12,75%,11.67,3.57,3.71,3.86,3.57,3.86,3.86,3.86,3.57,3.71,,,,,,,,,,,
Fall,2016,"GOMEZ, N. (co-taught)",ICT,4330,FUND. OF SWD,B,Lect,5,5,100%,18.6,5,4.6,4.6,4.4,4.4,4.6,4.8,4.6,4.6,,,,,,,,,,,
Fall,2016,"BISHOP, M. (co-taught)",ICT,4330,FUND. OF SWD,B,Lect,5,5,100%,15.33,4.6,4.6,4.2,4.4,4.2,4.2,4.6,4.2,4.6,,,,,,,,,,,
Fall,2016,"KROGH, B. (co-taught)",ICT,4601,FIRST-YEAR SEMINAR,A,Lect,27,38,71%,6.27,4.7,4.63,4.78,4.67,4.63,4.56,4.74,4.56,4.44,,,,,,,,,,,
Fall,2016,"KELLY, L. (co-taught)",ICT,4601,FIRST-YEAR SEMINAR,A,Lect,27,38,71%,5.75,4.89,4.85,4.89,4.89,4.81,4.81,4.85,4.85,4.63,,,,,,,,,,,
Spring,2016,BRUCE KROGH,ICT,4602,MSIT FIRST-YEAR SEMR,A,Lect,16,27,59%,4.63,5,4.88,4.88,4.75,4.94,4.81,4.94,5,4.88,,,,,,,,,,,
Spring,2016,ZAIN KHAN,ICT,4605,MSIT SECOND YR SEMR,A,Lect,1,2,50%,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,ZAIN KHAN,ICT,4605,MSIT SECOND YR SEMR,A,Lect,17,21,81%,8.06,4.82,4.35,4.56,4.71,4.65,4.65,4.88,4.71,4.53,,,,,,,,,,,
Fall,2016,MICHEL BEZY,ICT,4611,STRAG DIGTL INF ENTR,A,Lect,31,36,86%,16.1,4.87,4.77,4.81,4.65,4.84,4.81,4.58,4.71,4.58,,,,,,,,,,,
Spring,2016,MANUEL ROSSO-LLOPART,ICT,4630,COMPTR SCI PRNC PRC,A,Lect,8,16,50%,19.38,4.88,4.63,4.63,4.38,4.63,4.63,5,4.88,4.13,,,,,,,,,,,
Spring,2016,MANUEL ROSSO-LLOPART,ICT,4630,COMPTR SCI PRNC PRC,B,Lect,5,7,71%,23,5,4.6,4.6,4.8,4.6,4.8,5,4.8,4.4,,,,,,,,,,,
Spring,2016,NICOLAS CHRISTIN,ICT,4635,INTRD INFM SECURITY,A,Lect,16,25,64%,17.13,4.75,4.63,4.81,4.44,4.63,4.44,4.81,4.75,4.56,,,,,,,,,,,
Fall,2016,AMINATA GARBA,ICT,4641,FNDML TELECM CMP NTW,A,Lect,18,22,82%,17.24,4.78,4.5,4.39,4.28,4.5,4.5,4.88,4.5,4.56,,,,,,,,,,,
Fall,2016,AMINATA GARBA,ICT,4641,FNDML TELECM CMP NTW,B,Lect,17,20,85%,19.18,4.82,4.82,4.82,4.65,4.76,4.81,4.88,4.63,4.44,,,,,,,,,,,
Spring,2016,AMINATA GARBA,ICT,4644,WIRELESS NETWORKS,1,Lect,2,2,100%,20.5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,TAHA USTUN,ICT,4800,SP TPC IN ICT,D,Lect,2,5,40%,11,5,5,5,4.5,5,5,4.5,5,5,,,,,,,,,,,
Fall,2016,ZAIN KHAN,ICT,4800,SP TPC IN ICT,E,Lect,17,19,89%,14.19,4.88,4.65,4.76,4.94,4.88,4.88,4.71,4.94,4.82,,,,,,,,,,,
Fall,2016,TIMOTHY BROWN,ICT,4801,SP TPCS IN ICT MINI,D1,Lect,1,4,25%,11,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,TIMOTHY BROWN,ICT,4801,SP TPCS IN ICT MINI,D2,Lect,2,5,40%,8,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,
Spring,2016,"KROGH, B. (co-taught)",ICT,4801,SP TPCS IN ICT MINI,E3,Lect,8,17,47%,7.57,4.75,4.63,4.63,4.75,4.75,4.63,5,4.75,4.5,,,,,,,,,,,
Spring,2016,"KOMPALLI, S. (co-taught)",ICT,4801,SP TPCS IN ICT MINI,E3,Lect,8,17,47%,10.17,4.63,4.25,4.25,4.25,4.5,4.25,4.63,4.38,4.25,,,,,,,,,,,
Spring,2016,ZAIN KHAN,ICT,4900,MSIT PRACTICUM,A,Lect,5,7,71%,25,4.8,4.6,4.6,4.6,4.8,4.4,4.8,4.6,4.6,,,,,,,,,,,
Fall,2016,ZAIN KHAN,ICT,4900,MSIT PRACTICUM,A,Lect,10,13,77%,25.8,4.9,4.6,4.6,4.5,4.6,4.5,4.8,4.5,4.7,,,,,,,,,,,
Fall,2016,TIMOTHY BROWN,ICT,4980,MSIT INDPDT STUDY,A,Lect,2,4,50%,12.5,5,4.5,4.5,4.5,4.5,4.5,5,5,5,,,,,,,,,,,
Fall,2016,MARTIN CARLISLE,INI,14642,FUND EMBEDDED SYSTMS,A,Lect,63,79,80%,16.98,4.6,4.18,4.15,4.03,4.21,3.97,4.63,4,4.08,,,,,,,,,,,
Spring,2016,ROBERT SEACORD,INI,14735,SECURE CODING,A,Lect,7,11,64%,7.14,4.71,4.43,4.86,5,5,5,5,4.86,4.86,,,,,,,,,,,
Spring,2016,ROBERT SEACORD,INI,14735,SECURE CODING,SV,Lect,6,6,100%,8.5,4.5,4.33,4.67,4.33,4.5,4.17,4.83,4.5,4.5,,,,,,,,,,,
Spring,2016,RAJEEV GANDHI,INI,14740,FUND TELECOM NETWRKS,A,Lect,26,33,79%,12.64,4.08,4.15,4.23,3.69,4.23,4.19,4.31,4.12,4.04,,,,,,,,,,,
Fall,2016,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,A,Lect,41,41,100%,10.95,4.83,4.71,4.76,4.29,4.63,4.59,4.85,4.46,4.37,,,,,,,,,,,
Fall,2016,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,J,Lect,10,10,100%,11.7,5,4.5,4.8,5,4.9,4.8,5,4.9,4.7,,,,,,,,,,,
Fall,2016,NICOLAS CHRISTIN,INI,14741,INTRO INFO SECURITY,A,Lect,38,50,76%,12.21,4.5,4.5,4.45,3.92,4.55,4.5,4.63,4.46,4.18,,,,,,,,,,,
Fall,2016,LIMIN JIA,INI,14741,INTRO INFO SECURITY,B,Lect,19,22,86%,14.32,4.16,4.05,4.26,3.79,4.05,4.11,4.63,3.95,3.67,,,,,,,,,,,
Fall,2016,NICOLAS CHRISTIN,INI,14741,INTRO INFO SECURITY,J,Lect,7,10,70%,11.43,5,4.57,4.57,4.71,5,4.71,5,5,4.86,,,,,,,,,,,
Spring,2016,"MAY, C. (co-taught)",INI,14761,APPLD INFO ASSURANCE,A,Lect,26,33,79%,12.96,4.31,4.12,4.31,3.88,4.23,4.15,4.46,4.12,4.12,,,,,,,,,,,
Spring,2016,"ALLEN, D. (co-taught)",INI,14761,APPLD INFO ASSURANCE,A,Lect,26,33,79%,12.64,4.23,4.08,4.27,3.92,4.27,4.19,4.38,4.08,4.12,,,,,,,,,,,
Fall,2016,"MAY, C. (co-taught)",INI,14761,APPLD INFO ASSURANCE,A,Lect,38,49,78%,11.95,4.24,4.18,4.21,3.82,4.11,4.03,4.34,4.08,3.82,,,,,,,,,,,
Fall,2016,"ALLEN, D. (co-taught)",INI,14761,APPLD INFO ASSURANCE,A,Lect,38,49,78%,11.28,4.32,4.14,4.22,4.03,4.16,4.19,4.38,4.16,3.92,,,,,,,,,,,
Fall,2016,DAVID LAMONT,INI,14774,MANAGERIAL ECON,A1,Lect,35,49,71%,7.15,4.49,4.34,4.51,4.14,4.49,4.43,4.8,4.4,4.38,,,,,,,,,,,
Spring,2016,DAVID LAMONT,INI,14774,MANAGERIAL ECON,A3,Lect,31,37,84%,7.33,4.58,4.68,4.68,4.29,4.65,4.68,4.71,4.58,4.45,,,,,,,,,,,
Fall,2016,DAVID LAMONT,INI,14775,BUSINESS MANAGEMENT,A2,Lect,24,32,75%,9.29,4.54,4.5,4.58,4.5,4.58,4.5,4.71,4.58,4.42,,,,,,,,,,,
Spring,2016,DAVID LAMONT,INI,14775,BUSINESS MANAGEMENT,A4,Lect,20,23,87%,8.84,4.65,4.65,4.55,4.5,4.5,4.55,4.7,4.55,4.5,,,,,,,,,,,
Fall,2016,DAVID LAMONT,INI,14775,BUSINESS MANAGEMENT,B2,Lect,17,27,63%,8.24,4.47,4.53,4.71,4.65,4.59,4.41,4.76,4.53,4.47,,,,,,,,,,,
Spring,2016,DAVID LAMONT,INI,14775,BUSINESS MANAGEMENT,B4,Lect,15,18,83%,9.6,4.87,4.87,4.73,4.6,4.67,4.87,4.73,4.6,4.67,,,,,,,,,,,
Spring,2016,JAMES STEVENS,INI,14782,ST: IS RISK MAN I,A3,Lect,29,34,85%,5.62,4.59,4.45,4.62,4.14,4.66,4.62,4.79,4.55,4.45,,,,,,,,,,,
Spring,2016,JAMES STEVENS,INI,14784,ST: IS RISK MAN II,A4,Lect,26,30,87%,7.65,4.15,3.92,4.04,3.92,4.15,4.15,4.46,4,3.77,,,,,,,,,,,
Spring,2016,RAHUL TELANG,INI,14788,INFO SEC POL MGT,A4,Lect,6,8,75%,8.5,4.33,4,3.83,3.83,4,4,4.17,4,3.67,,,,,,,,,,,
Fall,2016,JARED ETTINGER,INI,14809,INTRO CYBER INTEL,A,Lect,25,32,78%,9.4,4.36,4.08,4.16,4.04,4.44,4.12,4.52,4.12,4.04,,,,,,,,,,,
Spring,2016,PATRICK TAGUE,INI,14814,WIRELESS NETWORK SEC,A,Lect,6,7,86%,10.5,5,5,5,4.83,5,5,5,4.83,4.83,,,,,,,,,,,
Spring,2016,PATRICK TAGUE,INI,14814,WIRELESS NETWORK SEC,SV,Lect,5,7,71%,9.8,5,5,5,5,5,5,5,5,4.8,,,,,,,,,,,
Spring,2016,EDWARD ENGLER,INI,14815,ENTRE INOV TCH,A,Lect,15,17,88%,9.2,4.87,4.53,4.47,4.67,4.67,4.6,4.8,4.6,4.67,,,,,,,,,,,
Fall,2016,EDWARD ENGLER,INI,14815,ENTRE INOV TCH,A,Lect,2,2,100%,9.5,5,4.5,5,5,5,5,5,4.5,4.5,,,,,,,,,,,
Spring,2016,ALEXANDER VOLYNKIN,INI,14819,INTRO SW REV-ENG,A,Lect,20,27,74%,15.32,4.9,4.95,4.95,4.65,4.9,4.95,5,5,4.85,,,,,,,,,,,
Spring,2016,ALEXANDER VOLYNKIN,INI,14819,INTRO SW REV-ENG,SV,Lect,2,2,100%,15.5,5,5,4.5,4.5,5,5,5,4.5,5,,,,,,,,,,,
Spring,2016,JEFFREY MATTSON,INI,14822,HOST BASED FORENSICS,A,Lect,10,16,62%,12.2,4.1,3.6,3.7,3.7,4.6,3.7,4.4,3.6,3.7,,,,,,,,,,,
Fall,2016,"SOMLO, G. (co-taught)",INI,14823,NETWORK FORENSICS,A,Lect,8,11,73%,7.25,4.13,3.88,4,3.5,4,3.88,4.38,3.63,3.38,,,,,,,,,,,
Fall,2016,"WELLE, A. (co-taught)",INI,14823,NETWORK FORENSICS,A,Lect,8,11,73%,6.5,4,3.86,4.17,3.43,3.86,3.86,4.57,3.57,3.29,,,,,,,,,,,
Fall,2016,PATRICK TAGUE,INI,14829,MOBILE SECURITY,A,Lect,18,21,86%,10.67,4.94,4.89,4.89,4.78,4.83,4.78,4.89,4.83,4.72,,,,,,,,,,,
Fall,2016,PATRICK TAGUE,INI,14829,MOBILE SECURITY,SV,Lect,15,20,75%,11.13,4.87,4.93,4.93,4.67,4.8,4.8,5,4.87,4.67,,,,,,,,,,,
Spring,2016,joshuah,INI,14832,CYBER FORENSCS CAPSN,A,Lect,10,10,100%,12.8,4.3,4.2,4.3,3.9,4.3,4.5,4.5,4.3,3.9,,,,,,,,,,,
Fall,2016,PEI ZHANG,INI,14840,MOBILE HW FOR SW ENG,SV,Lect,7,11,64%,10.14,4.71,4.86,5,4.71,4.86,4.86,4.86,5,4.86,,,,,,,,,,,
Spring,2016,PEI ZHANG,INI,14841,MBL & PERVASIVE COMP,SV,Lect,6,7,86%,11,4.33,3.83,3.67,4.67,4.5,4.17,4.17,4.33,4.17,,,,,,,,,,,
Spring,2016,KAI-TING WEI,INI,14844,ST:MOB AD,S4,Lect,10,10,100%,8.4,4.4,4.2,4.3,4.6,4.4,4.5,4.8,4.2,4,,,,,,,,,,,
Fall,2016,PATRICK TAGUE,INI,14850,ST:CYBERSE RSRCH SEM,A,Lect,3,3,100%,12,4.67,4.33,4.67,4.33,4.67,4.33,4.67,4.33,4.33,,,,,,,,,,,
Fall,2016,PATRICK TAGUE,INI,14850,ST:CYBERSE RSRCH SEM,SV,Lect,5,6,83%,9.2,5,4.8,4.6,4.6,4.8,4.4,5,4.8,4.8,,,,,,,,,,,
Spring,2016,PHILIP LEDUC,MEG,24101,FUND OF MECH ENGR,1,Lect,86,133,65%,6.76,3.55,3.36,3.38,3,3.57,2.97,4.17,3,3.09,,,,,,,,,,,
Fall,2016,JACK BEUTH,MEG,24101,FUND OF MECH ENGR,1,Lect,110,125,88%,8.68,4.09,4.15,4.12,3.61,4.37,4.11,4.43,3.98,3.94,,,,,,,,,,,
Spring,2016,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,Lect,4,6,67%,8.75,4.5,4.25,4.25,4.5,4.5,4,4.5,4.5,4.5,,,,,,,,,,,
Fall,2016,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A1,Lect,22,48,46%,2,4.05,4.41,4.32,3.5,4.27,4.27,4.55,4.14,3.91,,,,,,,,,,,
Fall,2016,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A2,Lect,30,45,67%,2.5,3.8,4.03,3.93,3.43,3.97,3.83,4.13,3.67,3.53,,,,,,,,,,,
Spring,2016,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A3,Lect,5,12,42%,2,4.8,5,5,4.8,5,5,5,5,4.8,,,,,,,,,,,
Spring,2016,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,B4,Lect,13,23,57%,2.23,4.08,4.31,4.38,4.08,4.15,4.08,4.38,4.23,4.08,,,,,,,,,,,
Spring,2016,JACK BEUTH,MEG,24210,ADD MANF,A3,Lect,10,11,91%,5,4.6,4,4.4,3.8,4.9,4.6,4.5,4.4,4.3,,,,,,,,,,,
Spring,2016,JACK BEUTH,MEG,24210,ADD MANF,B4,Lect,17,18,94%,5,4.76,4.71,4.82,4.41,4.82,4.94,4.71,4.71,4.71,,,,,,,,,,,
Fall,2016,SATBIR SINGH,MEG,24221,THERMODYNAMICS I,1,Lect,134,171,78%,8.95,4.43,4.49,4.46,4.19,4.46,4.52,4.54,4.42,4.42,,,,,,,,,,,
Spring,2016,SHAWN LITSTER,MEG,24231,FLUID MECHANICS,1,Lect,104,110,95%,8.9,4.31,4.26,4.24,3.97,4.45,4.23,4.63,4.24,4.1,,,,,,,,,,,
Fall,2016,PAUL STEIF,MEG,24261,STATICS,1,Lect,165,185,89%,8.55,4.31,4.15,4.1,3.68,4.23,4.1,4.23,3.94,3.81,,,,,,,,,,,
Spring,2016,PAUL STEIF,MEG,24262,STRESS ANALYSIS,1,Lect,62,108,57%,9.69,4.65,4.47,4.48,4.29,4.66,4.53,4.65,4.5,4.37,,,,,,,,,,,
Spring,2016,SHI-CHUNE YAO,MEG,24292,ST RENEW ENERGY ENGR,A,Lect,10,16,62%,6.5,4.2,4.2,4.2,3.7,4.4,4.1,4.5,4.1,4,,,,,,,,,,,
Spring,2016,SHRADDHA JOSHI,MEG,24302,MECHNCL ENG SEM I,A,Lect,8,18,44%,3.88,4.38,4.5,4.38,4.57,4.25,4.25,4.38,4.13,4.13,,,,,,,,,,,
Fall,2016,SHRADDHA JOSHI,MEG,24302,MECHNCL ENG SEM I,A,Lect,12,16,75%,2,4.42,4.42,4.42,4.58,4,4.25,4.75,4.08,3.92,,,,,,,,,,,
Spring,2016,SHRADDHA JOSHI,MEG,24302,MECHNCL ENG SEM I,B,Lect,6,8,75%,2,4.17,4.17,4.17,4.67,4.33,4.17,4.17,3.67,3.83,,,,,,,,,,,
Fall,2016,SHRADDHA JOSHI,MEG,24302,MECHNCL ENG SEM I,B,Lect,12,13,92%,2.25,4.58,4.92,4.83,4.83,4.42,4.67,4.83,4.5,4,,,,,,,,,,,
Fall,2016,SHRADDHA JOSHI,MEG,24302,MECHNCL ENG SEM I,C,Lect,6,8,75%,2,4.5,4.5,4.5,4.67,4.67,4.5,4.5,4.5,4.67,,,,,,,,,,,
Spring,2016,ALAN MCGAUGHEY,MEG,24311,NUMERICAL METHODS,A,Lect,85,128,66%,9.8,4.7,4.76,4.73,4.44,4.62,4.71,4.73,4.69,4.6,,,,,,,,,,,
Spring,2016,"RABIN, Y. (co-taught)",MEG,24321,THRML FLDS EXPRM DES,1,Lect,80,113,71%,11.35,3.29,3,3.21,3.17,3.1,3.11,3.26,3.13,3.14,,,,,,,,,,,
Spring,2016,"SHEN, S. (co-taught)",MEG,24321,THRML FLDS EXPRM DES,1,Lect,80,113,71%,11.23,4.16,3.71,3.84,3.66,3.62,3.83,4.25,3.91,3.58,,,,,,,,,,,
Fall,2016,JONATHAN MALEN,MEG,24322,HEAT TRANSFER,1,Lect,89,103,86%,9.4,4.67,4.63,4.69,4.44,4.78,4.8,4.63,4.81,4.65,,,,,,,,,,,
Fall,2016,KEITH COOK,MEG,24334,INTRO BIOMECH,A,Lect,4,4,100%,9.5,4.75,4.25,5,4.5,5,5,5,4.75,5,,,,,,,,,,,
Spring,2016,GLENN JARVIS,MEG,24341,MANUFACTUR SCIENCES,T,Lect,17,32,53%,6.76,4.24,4.18,4,3.76,4.35,4.06,4.71,4.12,4.18,,,,,,,,,,,
Fall,2016,CARMEL MAJIDI,MEG,24351,DYNAMICS,1,Lect,92,96,96%,9.71,3.76,3.76,3.71,3.37,3.97,3.2,4.25,3.27,3.26,,,,,,,,,,,
Spring,2016,CAMERON RIVIERE,MEG,24352,DYNMC SYS & CONTROL,A,Lect,102,117,87%,8.78,3.2,2.82,2.6,2.7,2.5,2.36,3.93,2.29,2.4,,,,,,,,,,,
Fall,2016,MARK BEDILLION,MEG,24354,SP TP GD SN ACTR PRO,A,Lect,21,23,91%,8.29,4.67,4.33,4.38,4.14,4.62,4.62,4.81,4.67,4.52,,,,,,,,,,,
Fall,2016,REBECCA TAYLOR,MEG,24370,ENGINEERING DESIGN I,1,Lect,104,108,96%,12.03,4.68,3.77,3.99,4.13,4.48,3.88,4.58,3.97,3.86,,,,,,,,,,,
Fall,2016,SATBIR SINGH,MEG,24421,INTERNL COMBST ENGNS,1,Lect,18,20,90%,8.88,4.39,4.56,4.5,4.11,4.61,4.67,4.67,4.67,4.61,,,,,,,,,,,
Fall,2016,EDWARD RUBIN,MEG,24424,ENERGY & THE ENVRNMT,A,Lect,8,10,80%,8.38,4.13,3.5,3.75,4.25,4.75,4,4.5,3.75,3.5,,,,,,,,,,,
Fall,2016,ALBERT PRESTO,MEG,24425,CMBSTN AIR POLL CTRL,A,Lect,2,2,100%,6.5,3.5,4,4,3.5,4,3,4.5,3,3,,,,,,,,,,,
Spring,2016,SHRADDHA JOSHI,MEG,24441,ENGINEERING DSIGN II,A,Lect,19,35,54%,12.53,3.95,3.32,3.26,3.47,3.37,3.42,4.16,3.37,3,,,,,,,,,,,
Fall,2016,SHRADDHA JOSHI,MEG,24441,ENGINEERING DSIGN II,A,Lect,28,35,80%,12.96,3.5,2.96,3.07,2.89,3.07,2.96,3.82,2.71,2.68,,,,,,,,,,,
Spring,2016,LEVENT KARA,MEG,24441,ENGINEERING DSIGN II,B,Lect,31,33,94%,12.26,4.71,4.48,4.48,4.61,4.58,4.55,4.81,4.65,4.42,,,,,,,,,,,
Fall,2016,MARK BEDILLION,MEG,24451,FEEDBK CNTRL SYSTEMS,A,Lect,19,20,95%,12.84,4.68,4.33,4.42,4.05,4.53,4.63,4.84,4.58,4.42,,,,,,,,,,,
Fall,2016,"SREENATH, K. (co-taught)",MEG,24452,MECH SYSTMS EXPRMNTN,1,Lect,112,114,98%,10.92,4.35,4.14,4.15,4.13,4.1,4.26,4.56,4.27,3.92,,,,,,,,,,,
Fall,2016,"JAYAN, B. (co-taught)",MEG,24452,MECH SYSTMS EXPRMNTN,1,Lect,112,114,98%,10.94,4.41,4.15,4.19,4.16,4.18,4.22,4.56,4.27,3.96,,,,,,,,,,,
Spring,2016,KEITH COOK,MEG,24612,CARDIO MECH,1,Lect,5,5,100%,10.4,4.6,4.8,5,4.6,4.8,5,4.8,5,5,,,,,,,,,,,
Fall,2016,TAMAL MUKHERJEE,MEG,24614,MICROELECTROMECH SYS,A,Lect,6,9,67%,10.5,3.67,3.67,3.83,3,4,3.67,4.33,3.5,3.5,,,,,,,,,,,
Spring,2016,SATBIR SINGH,MEG,24618,COMP TRNSPT PHENOM,A,Lect,20,22,91%,13.6,4.75,4.5,4.6,4.5,4.8,4.25,4.85,4.25,4.05,,,,,,,,,,,
Fall,2016,ALAN MCGAUGHEY,MEG,24623,MOL SIM MATERIAL,A,Lect,8,12,67%,12.25,4.88,5,4.88,4.63,5,4.88,5,4.88,4.88,,,,,,,,,,,
Spring,2016,JONATHAN MALEN,MEG,24628,ENG TRNSP CONV NANSC,A,Lect,13,15,87%,10.25,4.85,4.85,4.77,4.62,4.77,4.69,4.69,4.85,4.85,,,,,,,,,,,
Fall,2016,SHENG SHEN,MEG,24629,DR SLR THM ENG,A,Lect,14,16,88%,8.46,5,4.86,4.71,4.64,4.79,4.71,5,4.71,4.64,,,,,,,,,,,
Spring,2016,"AZEVEDO, I. (co-taught)",MEG,24640,CLM CHG MITGT,A,Lect,9,10,90%,12.78,4.67,4.44,4.78,4.44,5,4.89,4.89,4.67,4.44,,,,,,,,,,,
Spring,2016,"ROBINSON, A. (co-taught)",MEG,24640,CLM CHG MITGT,A,Lect,9,10,90%,12.78,4.67,4.44,4.78,4.33,5,5,4.89,4.78,4.56,,,,,,,,,,,
Fall,2016,SHAWN LITSTER,MEG,24642,FUEL CELL SYSTEMS,A,Lect,5,7,71%,15.4,4.8,4.4,4.8,4.4,5,4.6,4.8,4.6,4.8,,,,,,,,,,,
Spring,2016,VENKATASUBRAMAN VISWANATHAN,MEG,24643,SP TPC: EL EN STR SY,A,Lect,26,27,96%,8.12,4.54,4.48,4.58,4.27,4.77,4.46,4.5,4.46,4.46,,,,,,,,,,,
Spring,2016,ALBERT PRESTO,MEG,24645,ST-AIR PLT SENS DSN,A,Lect,9,9,100%,9,4.44,4.44,4.78,4.22,4.67,4.56,4.89,4.67,4.56,,,,,,,,,,,
Spring,2016,JAMES BURG,MEG,24650,SP TPS APP FIN EL AN,A,Lect,21,27,78%,9.71,4.67,4.52,4.57,4.24,4.67,4.1,4.67,4.1,4.14,,,,,,,,,,,
Fall,2016,JAMES BURG,MEG,24650,SP TPS APP FIN EL AN,A,Lect,39,48,81%,9.69,4.47,4.32,4.34,4.11,4.39,4.32,4.71,4.34,4.37,,,,,,,,,,,
Spring,2016,MAARTEN DE BOER,MEG,24651,MAT SLC ENGR,A,Lect,25,39,64%,12,4.52,4.6,4.6,4.32,4.68,4.63,4.68,4.44,4.44,,,,,,,,,,,
Fall,2016,PHILIP LEDUC,MEG,24655,CELL MECHANIC,A,Lect,4,9,44%,8,4.75,4.25,4.25,4.25,4.75,4.5,4.75,4.5,4.25,,,,,,,,,,,
Spring,2016,YONGJIE ZHANG,MEG,24658,CMPTNL BIO-MDL VISLN,A,Lect,11,12,92%,5.82,4.36,4.18,4.18,4.18,3.82,4.09,4.64,4.09,4.18,,,,,,,,,,,
Spring,2016,MEHRDAD MASSOUDI,MEG,24659,CNTM BIOMC,A,Lect,5,6,83%,9.2,4.6,4.2,4.4,4.2,4.6,4.4,4.8,4.6,4.2,,,,,,,,,,,
Fall,2016,KENJI SHIMADA,MEG,24672,SP TPC DIY DSN FAB,A,Lect,58,58,100%,12.84,4.74,4.64,4.64,4.78,4.55,4.66,4.81,4.71,4.66,,,,,,,,,,,
Spring,2016,CARMEL MAJIDI,MEG,24673,SF RB MC DS MD,A,Lect,17,26,65%,9.69,4.59,4.63,4.65,4.47,4.71,4.65,4.71,4.76,4.65,,,,,,,,,,,
Fall,2016,"MICHALEK, J. (co-taught)",MEG,24680,QUAN ENTPR TECH COMM,A,Lect,8,9,89%,15,4.75,4.5,5,4.63,4.75,4.88,5,5,4.86,,,,,,,,,,,
Fall,2016,"WHITEFOOT, K. (co-taught)",MEG,24680,QUAN ENTPR TECH COMM,A,Lect,8,9,89%,15.38,4.88,4.75,4.75,4.63,4.75,4.5,5,4.75,5,,,,,,,,,,,
Spring,2016,KENJI SHIMADA,MEG,24681,COMP AID DESIGN,A,Lect,38,38,100%,11.42,4.53,4.47,4.53,4.55,4.55,4.42,4.79,4.46,4.32,,,,,,,,,,,
Fall,2016,ANIL GUPTA,MEG,24683,DESGN MANUFCT & ENVR,A,Lect,24,34,71%,10,4.46,3.29,3.54,4,4.29,3.58,4.5,3.67,3.71,,,,,,,,,,,
Spring,2016,JACK BEUTH,MEG,24685,ST-ADD MANUF ENG,A3,Lect,6,7,86%,5,4.33,4.5,4.5,4,4.83,4.83,4.83,4.5,4.33,,,,,,,,,,,
Spring,2016,JACK BEUTH,MEG,24685,ST-ADD MANUF ENG,B4,Lect,12,12,100%,4.45,4.5,4.33,4.67,3.67,4.58,4.67,4.58,4.67,4.33,,,,,,,,,,,
